username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yoalpefri;2019-02-22 01:02;0;0;"Tic Tac Tic Tac... Hoy empieza la esperanza... # venezuela VAS BIEN... VAS MUY BIEN... Ahora Paciencia q pa' eso Sí que somos Buenos días desde # guaido # venezuelalibre # maduro # ayudahumanitaria # madrid # 23ene # 23f $/#2019 https://www.facebook.com/yonnerp/videos/10216561725367900/ …";;;# # # # # # # # #2019;"1098825325197385729";https://twitter.com/yoalpefri/status/1098825325197385729
ElSc0ut;2019-02-22 00:55;1;2;"# 23F # AyudaHumanitaria # Venezuela # madurousurpador # fanbpic.twitter.com/L5l4i8SFNs";;;# # # # #;"1098823689708208130";https://twitter.com/ElSc0ut/status/1098823689708208130
CisnerosComedy;2019-02-22 00:49;0;2;"Un mensaje para Venezuela, y todo el que necesite ayuda. Confía. La ayuda llegará. # vamosbien # venezuela # ayuda @ VenezuelaAid @ jguaido # 22f # 23f # ayudahumanitaria # libertad en Venezuela https://www.instagram.com/p/BuLEP6VlhgB/?utm_source=ig_twitter_share&igshid=1cbsxkk4gd72c …";;@ @;# # # # # # #;"1098821991379947520";https://twitter.com/CisnerosComedy/status/1098821991379947520
CSMaldonado;2019-02-22 00:30;42;154;"Del # 23F en # Venezuela al # 27F en # Nicaragua. Días de vértigo. Trascendentales para dos países, dos sátrapas y un continente. Sujétense el cinturón, que esto apenas empieza.";;;# # # #;"1098817178885869568";https://twitter.com/CSMaldonado/status/1098817178885869568
SchulerStefanie;2019-02-22 00:25;18;18;"Pour suivre les prochaines heures et jours à la frontière entre le # Venezuela et la # Colombie alors que Juan Guaidó a annoncé l’arrivée de l’aide humanitaire ce samedi # 23F: @ normandmarie. A Caracas: @ BenjiDelylo. Leurs reportages et analyse sont à écouter sur @ RFIhttps://twitter.com/normandmarie/status/1098811623161106433 …";;@ @ @;# # #;"1098816065277173761";https://twitter.com/SchulerStefanie/status/1098816065277173761
normandmarie;2019-02-22 00:14;2;3;"Le député de l’opposition Lester Toledo est venu quelques minutes sur le pont, pour inviter les Vénézuéliens à se joindre samedi au mouvement qui veut tenter de faire rentrer l’aide humanitaire - US surtout - au # Venezuela. « Trop dangereux », répondent certains # 23F # Cúcutapic.twitter.com/JRgYM9VeSG";;;# # #;"1098813376858329088";https://twitter.com/normandmarie/status/1098813376858329088
soldadod_Jesus;2019-02-21 23:44;0;1;"# Intercesión # OremosPorVenezuela # IntercesoresMundiales # Venezuela # CrisisEnVenezuela # 23F pic.twitter.com/MspzGYiIUT";;;# # # # # #;"1098805709595205632";https://twitter.com/soldadod_Jesus/status/1098805709595205632
ocastroc91;2019-02-21 23:41;0;0;"# 23FNoHayVueltaAtras # 23FVzlaALosCuartelesEnPaz # 23F # 22Feb # AyudaHumanitaria # AyudaHumanitariaVenezuela # Venezuela # EEUU # venezolanosenchile # venezolanosenargentina # VenezolanosenColombiahttps://twitter.com/ocastroc91/status/1098793293440262144 …";;;# # # # # # # # # # #;"1098805032697384960";https://twitter.com/ocastroc91/status/1098805032697384960
seodyssey;2019-02-21 23:37;0;0;"Miguel tiene un cuadro de desnutrición severa y necesita alimentos proteicos, está recibiendo nutrición Parenteral. ¡¡Qué inmoral eres maduro!! # 23F # Venezuela @ GotasEVzlapic.twitter.com/m7Bzko5MYt";;@;# #;"1098803988089225218";https://twitter.com/seodyssey/status/1098803988089225218
picon1969;2019-02-21 23:36;1;2;"# Represión @ marcorubio @ StateDept @ Almagro_OEA2015 @ POTUS @ VP @ MarioDB # Venezuela # 23F https://twitter.com/NTN24ve/status/1098781815496732672 …";;@ @ @ @ @ @;# # #;"1098803778378182656";https://twitter.com/picon1969/status/1098803778378182656
lilimilano;2019-02-21 23:30;0;1;"Resistan por favor resistan que falta poco! # venezuela # 23f en Pembroke Pines, Florida https://www.instagram.com/p/BuK7IbPHBzK/?utm_source=ig_twitter_share&igshid=tkowexbpbka7 …";;;# #;"1098802278067261440";https://twitter.com/lilimilano/status/1098802278067261440
cronicafemenina;2019-02-21 23:28;2;0;"# AyudaHumanitaria # 21feb # Venezuela # 23F https://twitter.com/CaraotaDigital/status/1098798252697235456 …";;;# # # #;"1098801637559361537";https://twitter.com/cronicafemenina/status/1098801637559361537
AndyBravoR;2019-02-21 23:13;0;1;"Pondrán a prueba las fuerzas de # Venezuela ya veremos el desarrollo de la película. Se estrena éste # 23F";;;# #;"1098797809791365120";https://twitter.com/AndyBravoR/status/1098797809791365120
